threshold, k, numCandidatePairs, trueCopyPairsDetected, falsePositivePairs, falseNegativePairs
0.0, 0, 190,190,0,20,
0.0, 1, 190,190,0,20,
0.0, 2, 190,190,0,20,
0.0, 3, 190,190,0,20,
0.0, 4, 190,190,0,20,
0.0, 5, 190,190,0,20,
0.0, 6, 190,190,0,20,
0.0, 7, 190,190,0,20,
0.0, 8, 190,190,0,20,
0.0, 9, 190,190,0,20,
0.0, 10, 190,190,0,20,
0.0, 11, 190,190,0,20,
0.0, 12, 190,190,0,20,
0.0, 13, 186,186,0,24,
0.0, 14, 190,190,0,20,
0.0, 15, 190,190,0,20,
0.2, 0, 190,190,0,20,
0.2, 1, 190,190,0,20,
0.2, 2, 190,190,0,20,
0.2, 3, 190,190,0,20,
0.2, 4, 190,190,0,20,
0.2, 5, 190,190,0,20,
0.2, 6, 190,190,0,20,
0.2, 7, 190,190,0,20,
0.2, 8, 190,190,0,20,
0.2, 9, 190,190,0,20,
0.2, 10, 190,190,0,20,
0.2, 11, 190,190,0,20,
0.2, 12, 190,190,0,20,
0.2, 13, 164,164,0,46,
0.2, 14, 190,190,0,20,
0.2, 15, 190,190,0,20,
0.42, 0, 190,190,0,20,
0.42, 1, 190,190,0,20,
0.42, 2, 190,190,0,20,
0.42, 3, 190,190,0,20,
0.42, 4, 190,190,0,20,
0.42, 5, 190,190,0,20,
0.42, 6, 190,190,0,20,
0.42, 7, 190,190,0,20,
0.42, 8, 190,190,0,20,
0.42, 9, 190,190,0,20,
0.42, 10, 190,190,0,20,
0.42, 11, 190,190,0,20,
0.42, 12, 190,190,0,20,
0.42, 13, 172,172,0,38,
0.42, 14, 190,190,0,20,
0.42, 15, 190,190,0,20,
0.64, 0, 190,190,0,20,
0.64, 1, 190,190,0,20,
0.64, 2, 190,190,0,20,
0.64, 3, 190,190,0,20,
0.64, 4, 190,190,0,20,
0.64, 5, 190,190,0,20,
0.64, 6, 190,190,0,20,
0.64, 7, 190,190,0,20,
0.64, 8, 190,190,0,20,
0.64, 9, 190,190,0,20,
0.64, 10, 190,190,0,20,
0.64, 11, 190,190,0,20,
0.64, 12, 190,190,0,20,
0.64, 13, 189,189,0,21,
0.64, 14, 190,190,0,20,
0.64, 15, 190,190,0,20,
0.8, 0, 190,190,0,20,
0.8, 1, 190,190,0,20,
0.8, 2, 190,190,0,20,
0.8, 3, 190,190,0,20,
0.8, 4, 190,190,0,20,
0.8, 5, 190,190,0,20,
0.8, 6, 190,190,0,20,
0.8, 7, 190,190,0,20,
0.8, 8, 190,190,0,20,
0.8, 9, 190,190,0,20,
0.8, 10, 190,190,0,20,
0.8, 11, 190,190,0,20,
0.8, 12, 189,189,0,21,
0.8, 13, 188,188,0,22,
0.8, 14, 190,190,0,20,
0.8, 15, 190,190,0,20,
1.0, 0, 190,190,0,20,
1.0, 1, 190,190,0,20,
1.0, 2, 120,120,0,20,
1.0, 3, 0,0,0,20,
1.0, 4, 0,0,0,20,
1.0, 5, 0,0,0,20,
1.0, 6, 0,0,0,20,
1.0, 7, 0,0,0,20,
1.0, 8, 0,0,0,20,
1.0, 9, 0,0,0,20,
1.0, 10, 0,0,0,20,
1.0, 11, 0,0,0,20,
1.0, 12, 0,0,0,20,
1.0, 13, 0,0,0,20,
1.0, 14, 0,0,0,20,
1.0, 15, 0,0,0,20,
