NumberOfHashFunctions,k,JaccardSimilarity,error
1,0,100.0,0.0
1,1,100.0,0.0
1,2,100.0,0.23120000000000118
1,3,80.0,0.1873199999999997
1,4,100.0,41.873999999999995
1,5,60.0,17.723100000000002
1,6,60.0,30.94856
1,7,60.0,41.53384
1,8,40.0,29.176759999999998
1,9,40.0,33.872682
1,10,20.0,16.305884
1,11,40.0,37.832056
1,12,40.0,38.6446726
1,13,0.0,0.9228219999999999
1,14,60.0,59.3540692
1,15,40.0,39.63086
25,0,100.0,0.0
25,1,100.0,0.0
25,2,100.0,0.23120000000000118
25,3,87.2,7.012680000000003
25,4,61.6,3.4739999999999966
25,5,53.6,11.323100000000004
25,6,32.8,3.7485599999999977
25,7,17.6,0.8661600000000007
25,8,16.0,5.176759999999998
25,9,6.4,0.27268199999999876
25,10,8.8,5.1058840000000005
25,11,10.4,8.232056
25,12,9.6,8.2446726
25,13,4.8,3.877178
25,14,4.0,3.3540691999999996
25,15,1.6,1.23086
50,0,100.0,0.0
50,1,100.0,0.0
50,2,100.0,0.23120000000000118
50,3,85.6,5.412679999999995
50,4,58.0,0.12600000000000477
50,5,46.4,4.123100000000001
50,6,31.2,2.14856
50,7,19.6,1.1338399999999993
50,8,13.6,2.7767599999999977
50,9,10.4,4.272681999999999
50,10,7.2,3.505884
50,11,5.6,3.4320559999999998
50,12,6.4,5.044672600000001
50,13,5.2,4.277178
50,14,4.0,3.3540691999999996
50,15,2.4,2.0308599999999997
100,0,100.0,0.0
100,1,100.0,0.0
100,2,99.8,0.03119999999999834
100,3,81.2,1.0126800000000031
100,4,57.6,0.5260000000000034
100,5,43.2,0.9231000000000051
100,6,30.0,0.9485600000000005
100,7,19.2,0.7338399999999972
100,8,12.2,1.3767599999999973
100,9,7.4,1.2726819999999988
100,10,4.8,1.1058839999999996
100,11,4.8,2.632056
100,12,3.6,2.2446726000000004
100,13,3.6,2.677178
100,14,2.0,1.3540691999999999
100,15,1.8,1.43086
250,0,100.0,0.0
250,1,100.0,0.0
250,2,99.84,0.07120000000000459
250,3,80.32000000000002,0.1326800000000219
250,4,61.2,3.073999999999998
250,5,44.56,2.2831000000000046
250,6,29.6,0.5485600000000019
250,7,18.64,0.17383999999999844
250,8,12.720000000000002,1.8967600000000004
250,9,7.839999999999999,1.7126819999999974
250,10,5.520000000000001,1.8258840000000012
250,11,3.76,1.592056
250,12,3.04,1.6846726000000005
250,13,2.16,1.237178
250,14,1.84,1.1940692
250,15,0.8,0.43086
500,0,100.0,0.0
500,1,100.0,0.0
500,2,99.8,0.03119999999999834
500,3,80.35999999999999,0.1726799999999855
500,4,57.08,1.0460000000000065
500,5,42.76000000000001,0.4831000000000145
500,6,29.76,0.7085600000000021
500,7,18.880000000000006,0.413840000000004
500,8,10.760000000000002,0.06324000000000041
500,9,6.8,0.6726819999999982
500,10,4.159999999999998,0.4658839999999982
500,11,2.4400000000000004,0.2720560000000005
500,12,2.12,0.7646726000000006
500,13,1.0,0.07717800000000008
500,14,1.24,0.5940691999999999
500,15,0.64,0.27086
750,0,100.0,0.0
750,1,100.0,0.0
750,2,99.92,0.1512000000000029
750,3,80.26668000000001,0.07936000000000831
750,4,59.41334000000001,1.2873400000000075
750,5,43.06666,0.7897600000000011
750,6,29.733320000000006,0.6818800000000067
750,7,18.23998,0.22618000000000293
750,8,11.68,0.8567599999999977
750,9,6.239998000000001,0.11267999999999923
750,10,4.373334,0.6792179999999997
750,11,2.506666,0.3387220000000002
750,12,1.4933314000000002,0.13800400000000068
750,13,1.28,0.3571780000000001
750,14,1.0666680000000002,0.42073720000000003
750,15,0.8266677999999998,0.4575277999999998
1000,0,100.0,0.0
1000,1,100.0,0.0
1000,2,99.78,0.01120000000000232
1000,3,81.74,1.5526799999999952
1000,4,58.82000000000001,0.6940000000000026
1000,5,43.24,0.9631000000000043
1000,6,28.26,0.7914399999999979
1000,7,19.84,1.3738399999999977
1000,8,10.52,0.3032400000000024
1000,9,6.24,0.11268199999999862
1000,10,3.76,0.06588399999999961
1000,11,2.3200000000000003,0.1520560000000004
1000,12,1.6,0.24467260000000057
1000,13,1.14,0.21717799999999998
1000,14,0.86,0.21406919999999985
1000,15,0.48,0.11085999999999996
