NumberOfHashFunctions,k,JaccardSimilarity,error
1,0,100.0,0.0
1,1,100.0,0.0
1,2,100.0,0.23120000000000118
1,3,100.0,19.81268
1,4,80.0,21.873999999999995
1,5,60.0,17.723100000000002
1,6,20.0,9.05144
1,7,40.0,21.533839999999998
1,8,0.0,10.823240000000002
1,9,0.0,6.127318000000002
1,10,0.0,3.694116
1,11,0.0,2.167944
1,12,0.0,1.3553273999999995
1,13,0.0,0.9228219999999999
1,14,0.0,0.6459308000000001
1,15,0.0,0.36914
25,0,100.0,0.0
25,1,100.0,0.0
25,2,99.2,0.568799999999996
25,3,84.0,3.8126800000000003
25,4,56.0,2.1260000000000048
25,5,52.0,9.723100000000002
25,6,26.4,2.651440000000001
25,7,17.6,0.8661600000000007
25,8,11.2,0.3767599999999973
25,9,8.8,2.672681999999999
25,10,5.6,1.9058839999999995
25,11,0.8,1.3679439999999998
25,12,4.8,3.4446726000000005
25,13,0.0,0.9228219999999999
25,14,0.0,0.6459308000000001
25,15,0.0,0.36914
50,0,100.0,0.0
50,1,100.0,0.0
50,2,100.0,0.23120000000000118
50,3,82.0,1.8126800000000003
50,4,62.4,4.273999999999994
50,5,42.8,0.5230999999999995
50,6,24.0,5.0514399999999995
50,7,16.0,2.466160000000002
50,8,10.0,0.823240000000002
50,9,3.6,2.5273180000000015
50,10,4.4,0.7058840000000002
50,11,1.2,0.9679439999999999
50,12,2.0,0.6446726000000005
50,13,1.6,0.6771780000000002
50,14,0.4,0.24593080000000012
50,15,0.0,0.36914
100,0,100.0,0.0
100,1,100.0,0.0
100,2,99.8,0.03119999999999834
100,3,83.4,3.212680000000006
100,4,55.8,2.3260000000000076
100,5,41.2,1.0768999999999949
100,6,27.6,1.451439999999998
100,7,17.2,1.2661600000000028
100,8,10.2,0.6232400000000027
100,9,6.0,0.1273180000000016
100,10,3.4,0.29411600000000027
100,11,1.4,0.767944
100,12,2.6,1.2446726000000006
100,13,1.2,0.27717800000000004
100,14,1.2,0.5540691999999998
100,15,0.2,0.16914
250,0,100.0,0.0
250,1,100.0,0.0
250,2,100.0,0.23120000000000118
250,3,80.8,0.6126799999999974
250,4,58.96,0.8339999999999961
250,5,43.60000000000001,1.3231000000000108
250,6,27.84,1.2114399999999996
250,7,17.999999999999996,0.4661600000000057
250,8,10.48,0.34324000000000154
250,9,6.16,0.032681999999998546
250,10,3.6800000000000006,0.014115999999999573
250,11,2.08,0.0879439999999998
250,12,1.6,0.24467260000000057
250,13,0.8800000000000001,0.042821999999999805
250,14,0.32,0.32593080000000013
250,15,0.32,0.04914000000000002
500,0,100.0,0.0
500,1,100.0,0.0
500,2,99.72,0.048799999999999955
500,3,79.24000000000002,0.9473199999999764
500,4,58.48,0.3539999999999921
500,5,41.56,0.7168999999999954
500,6,27.96,1.0914399999999986
500,7,17.839999999999996,0.6261600000000058
500,8,9.96,0.8632400000000011
500,9,6.44,0.3126819999999988
500,10,4.16,0.46588399999999996
500,11,2.52,0.35205600000000015
500,12,1.48,0.12467260000000047
500,13,0.6,0.32282199999999994
500,14,0.76,0.11406919999999987
500,15,0.5599999999999999,0.19085999999999992
750,0,100.0,0.0
750,1,100.0,0.0
750,2,99.68,0.088799999999992
750,3,79.22668,0.9606399999999979
750,4,58.800019999999996,0.6740199999999916
750,5,42.05332,0.22357999999999834
750,6,29.22666,0.1752199999999995
750,7,18.479979999999998,0.013819999999995503
750,8,10.24,0.5832400000000018
750,9,6.24,0.11268199999999862
750,10,3.5733339999999996,0.12078200000000061
750,11,2.453332,0.2853880000000002
750,12,1.4399986,0.0846712000000005
750,13,0.7733334000000001,0.14948859999999986
750,14,0.6133339999999999,0.0325968000000002
750,15,0.32,0.04914000000000002
1000,0,100.0,0.0
1000,1,100.0,0.0
1000,2,99.82,0.05119999999999436
1000,3,80.2,0.012680000000003133
1000,4,57.68000000000001,0.44599999999999795
1000,5,41.76,0.5168999999999997
1000,6,29.1,0.048560000000001935
1000,7,18.4,0.06616000000000355
1000,8,10.44,0.38324000000000247
1000,9,5.46,0.6673180000000016
1000,10,3.94,0.24588399999999977
1000,11,2.18,0.012056000000000289
1000,12,1.4,0.044672600000000395
1000,13,0.6,0.32282199999999994
1000,14,0.7000000000000001,0.05406919999999993
1000,15,0.24,0.12914000000000003
