NumberOfHashFunctions,k,JaccardSimilarity
1,0,0.0
1,1,-0.27999999999999936
1,2,-0.4399999999999977
1,3,-0.3999999999999986
1,4,-0.15999999999999837
1,5,-1.1600000000000001
1,6,-0.27999999999999936
1,7,0.11999999999999922
1,8,-0.879999999999999
1,9,0.1599999999999966
1,10,-0.5599999999999987
1,11,-0.20000000000000107
1,12,-1.7763568394002505e-15
1,13,-0.5999999999999996
1,14,0.7600000000000016
1,15,-0.8000000000000007
25,0,-0.20000000000000018
25,1,0.40000000000000036
25,2,-1.7763568394002505e-15
25,3,-0.759999999999998
25,4,-0.3200000000000003
25,5,-0.6800000000000015
25,6,-1.3599999999999994
25,7,-0.7599999999999998
25,8,-0.8000000000000007
25,9,-0.2400000000000002
25,10,-0.5200000000000031
25,11,-0.9600000000000009
25,12,-0.8800000000000008
25,13,-1.1200000000000028
25,14,-1.1600000000000001
25,15,-0.35999999999999943
50,0,-0.08000000000000007
50,1,0.1999999999999975
50,2,-0.8400000000000016
50,3,-1.3599999999999994
50,4,-1.5999999999999996
50,5,-0.7200000000000006
50,6,-0.6799999999999997
50,7,-1.5599999999999987
50,8,-0.879999999999999
50,9,-1.2400000000000002
50,10,-0.8000000000000007
50,11,-1.5600000000000005
50,12,-1.5600000000000005
50,13,-1.2400000000000002
50,14,-0.6400000000000006
50,15,-1.200000000000001
100,0,-0.4800000000000022
100,1,-0.1599999999999966
100,2,-0.9599999999999955
100,3,-0.8800000000000008
100,4,-2.0
100,5,-1.3999999999999986
100,6,-1.1600000000000001
100,7,-1.6799999999999997
100,8,-1.6400000000000006
100,9,-1.92
100,10,-2.4800000000000004
100,11,-1.9600000000000009
100,12,-1.120000000000001
100,13,-1.08
100,14,-1.759999999999998
100,15,-1.5599999999999987
250,0,-0.20000000000000195
250,1,-1.040000000000001
250,2,-1.8800000000000008
250,3,-3.84
250,4,-3.5199999999999996
250,5,-4.359999999999999
250,6,-4.560000000000002
250,7,-3.2399999999999984
250,8,-3.0400000000000027
250,9,-4.039999999999997
250,10,-3.1199999999999974
250,11,-4.079999999999998
250,12,-4.160000000000002
250,13,-4.0
250,14,-3.8800000000000043
250,15,-3.3599999999999994
500,0,-0.08000000000000007
500,1,0.16000000000000014
500,2,-2.84
500,3,-5.4399999999999995
500,4,-6.320000000000002
500,5,-7.4
500,6,-7.039999999999999
500,7,-6.719999999999999
500,8,-7.48
500,9,-7.0000000000000036
500,10,-6.999999999999998
500,11,-6.4399999999999995
500,12,-6.480000000000002
500,13,-6.440000000000001
500,14,-6.760000000000002
500,15,-6.440000000000001
750,0,0.0
750,1,-1.0
750,2,-3.879999999999999
750,3,-9.56
750,4,-9.8
750,5,-9.479999999999997
750,6,-10.600000000000001
750,7,-9.439999999999998
750,8,-9.079999999999998
750,9,-11.00000000000001
750,10,-9.360000000000007
750,11,-9.519999999999996
750,12,-12.040000000000006
750,13,-9.16
750,14,-9.959999999999997
750,15,-9.559999999999995
1000,0,0.28000000000000025
1000,1,-1.320000000000002
1000,2,-7.199999999999999
1000,3,-13.280000000000001
1000,4,-14.64
1000,5,-13.920000000000005
1000,6,-14.68
1000,7,-14.48
1000,8,-13.560000000000006
1000,9,-14.239999999999991
1000,10,-13.84
1000,11,-13.999999999999996
1000,12,-13.759999999999998
1000,13,-13.920000000000002
1000,14,-14.080000000000002
1000,15,-14.2
