NumberOfHashFunctions, k, JaccardSimilarity
1000, 0, 100
1000, 1, 100
1000, 2, 100
1000, 3, 97.2
1000, 4, 84.8
1000, 5, 59.1
1000, 6, 42.4
1000, 7, 28.4
1000, 8, 14.3
1000, 9, 9.8
1000, 10, 6.6
1000, 11, 4.4
1000, 12, 2.9
1000, 13, 2.2
1000, 14, 0.6
1000, 15, 0.6
1000, 16, 0.4
1000, 17, 0.5
1000, 18, 0.3
1000, 19, 0.2
1000, 20, 0.3
100, 0, 100
100, 1, 100
100, 2, 100
100, 3, 93
100, 4, 88
100, 5, 68
100, 6, 49
100, 7, 29
100, 8, 20
100, 9, 15
100, 10, 7
100, 11, 6
100, 12, 0
100, 13, 4
100, 14, 3
100, 15, 0
100, 16, 1
100, 17, 1
100, 18, 2
100, 19, 2
100, 20, 3
150, 0, 100
150, 1, 100
150, 2, 100
150, 3, 97.3333
150, 4, 83.3333
150, 5, 62.6667
150, 6, 43.3333
150, 7, 27.3333
150, 8, 14.6667
150, 9, 11.3333
150, 10, 8.66667
150, 11, 3.33333
150, 12, 3.33333
150, 13, 2.66667
150, 14, 2
150, 15, 0.666667
150, 16, 0.666667
150, 17, 0.666667
150, 18, 1.33333
150, 19, 2
150, 20, 2.66667
1, 0, 100
1, 1, 100
1, 2, 100
1, 3, 100
1, 4, 100
1, 5, 100
1, 6, 100
1, 7, 0
1, 8, 0
1, 9, 0
1, 10, 0
1, 11, 100
1, 12, 0
1, 13, 100
1, 14, 0
1, 15, 0
1, 16, 0
1, 17, 0
1, 18, 0
1, 19, 0
1, 20, 100
200, 0, 100
200, 1, 100
200, 2, 100
200, 3, 95
200, 4, 83.5
200, 5, 57
200, 6, 39.5
200, 7, 23.5
200, 8, 14.5
200, 9, 11.5
200, 10, 5.5
200, 11, 4
200, 12, 2
200, 13, 1.5
200, 14, 2.5
200, 15, 0
200, 16, 0.5
200, 17, 0.5
200, 18, 1
200, 19, 1.5
200, 20, 1.5
250, 0, 100
250, 1, 100
250, 2, 100
250, 3, 93.2
250, 4, 81.6
250, 5, 67.2
250, 6, 37.6
250, 7, 32.4
250, 8, 16.8
250, 9, 10
250, 10, 5.6
250, 11, 4.4
250, 12, 3.6
250, 13, 2.4
250, 14, 2
250, 15, 0
250, 16, 0.4
250, 17, 0.4
250, 18, 0.8
250, 19, 1.2
250, 20, 1.2
25, 0, 100
25, 1, 100
25, 2, 100
25, 3, 92
25, 4, 76
25, 5, 80
25, 6, 48
25, 7, 56
25, 8, 12
25, 9, 20
25, 10, 8
25, 11, 4
25, 12, 0
25, 13, 4
25, 14, 8
25, 15, 0
25, 16, 8
25, 17, 4
25, 18, 8
25, 19, 4
25, 20, 8
300, 0, 100
300, 1, 100
300, 2, 100
300, 3, 96.6667
300, 4, 83.6667
300, 5, 61.3333
300, 6, 43.6667
300, 7, 22.6667
300, 8, 13.6667
300, 9, 10
300, 10, 6.66667
300, 11, 4.33333
300, 12, 1.33333
300, 13, 1.66667
300, 14, 2
300, 15, 0.333333
300, 16, 1
300, 17, 0.333333
300, 18, 0.666667
300, 19, 1
300, 20, 0.666667
350, 0, 100
350, 1, 100
350, 2, 100
350, 3, 96.2857
350, 4, 87.1429
350, 5, 63.1429
350, 6, 39.4286
350, 7, 24.5714
350, 8, 15.1429
350, 9, 8.57143
350, 10, 4.85714
350, 11, 4.28571
350, 12, 2.28571
350, 13, 0.857143
350, 14, 1.14286
350, 15, 0.571429
350, 16, 0.571429
350, 17, 0.285714
350, 18, 0.571429
350, 19, 0.571429
350, 20, 0.857143
