, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20
1, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0
50, 100.0, 100.0, 100.0, 98.0, 74.0, 60.0, 52.0, 32.0, 14.0, 16.0, 6.0, 6.0, 2.0, 2.0, 8.0, 0.0, 2.0, 2.0, 4.0, 4.0, 2.0
100, 100.0, 100.0, 100.0, 93.0, 88.0, 68.0, 49.0, 29.0, 20.0, 15.0, 7.0, 6.0, 0.0, 4.0, 3.0, 0.0, 1.0, 1.0, 2.0, 2.0, 3.0
150, 100.0, 100.0, 100.0, 97.3333, 83.3333, 62.6667, 43.3333, 27.3333, 14.6667, 11.3333, 8.66667, 3.33333, 3.33333, 2.66667, 2.0, 0.666667, 0.666667, 0.666667, 1.33333, 2.0, 2.66667
200, 100.0, 100.0, 100.0, 95.0, 83.5, 57.0, 39.5, 23.5, 14.5, 11.5, 5.5, 4.0, 2.0, 1.5, 2.5, 0.0, 0.5, 0.5, 1.0, 1.5, 1.5
250, 100.0, 100.0, 100.0, 93.2, 81.6, 67.2, 37.6, 32.4, 16.8, 10.0, 5.6, 4.4, 3.6, 2.4, 2.0, 0.0, 0.4, 0.4, 0.8, 1.2, 1.2
300, 100.0, 100.0, 100.0, 96.6667, 83.6667, 61.3333, 43.6667, 22.6667, 13.6667, 10.0, 6.66667, 4.33333, 1.33333, 1.66667, 2.0, 0.333333, 1.0, 0.333333, 0.666667, 1.0, 0.666667
350, 100.0, 100.0, 100.0, 96.2857, 87.1429, 63.1429, 39.4286, 24.5714, 15.1429, 8.57143, 4.85714, 4.28571, 2.28571, 0.857143, 1.14286, 0.571429, 0.571429, 0.28571399999999997, 0.571429, 0.571429, 0.857143
400, 100.0, 100.0, 100.0, 99.0, 84.75, 67.25, 39.0, 31.25, 18.25, 9.0, 5.75, 4.0, 1.75, 2.25, 1.25, 0.75, 0.5, 0.25, 0.75, 0.5, 0.75
450, 100.0, 100.0, 100.0, 97.1111, 84.6667, 54.2222, 40.2222, 25.3333, 19.3333, 13.1111, 5.33333, 3.55556, 2.66667, 2.44444, 0.666667, 0.44444399999999995, 0.44444399999999995, 0.22222199999999998, 0.666667, 0.44444399999999995, 0.44444399999999995
500, 100.0, 100.0, 100.0, 95.2, 84.8, 60.4, 39.2, 23.6, 17.8, 10.4, 6.6, 4.2, 2.0, 1.6, 1.2, 0.6, 0.4, 0.2, 0.6, 0.4, 1.0
550, 100.0, 100.0, 100.0, 97.4545, 82.0, 59.6364, 39.0909, 26.1818, 19.6364, 9.81818, 6.54545, 3.63636, 1.81818, 1.81818, 1.09091, 0.0, 0.181818, 0.181818, 0.545455, 0.545455, 0.545455
600, 100.0, 100.0, 100.0, 95.3333, 85.1667, 59.8333, 40.3333, 26.0, 18.5, 9.16667, 6.5, 4.66667, 1.66667, 1.66667, 0.5, 0.5, 0.0, 0.166667, 0.5, 0.333333, 0.5
650, 100.0, 100.0, 100.0, 94.6154, 82.9231, 65.5385, 39.2308, 26.4615, 15.2308, 7.692310000000001, 5.69231, 5.076919999999999, 2.30769, 1.2307700000000001, 1.07692, 0.307692, 0.6153850000000001, 0.307692, 0.461538, 0.461538, 0.6153850000000001
700, 100.0, 100.0, 100.0, 95.7143, 83.7143, 62.1429, 36.2857, 26.5714, 15.8571, 10.2857, 6.28571, 2.71429, 1.4285700000000001, 1.8571400000000002, 0.714286, 0.571429, 0.28571399999999997, 0.14285699999999998, 0.428571, 0.428571, 0.428571
750, 100.0, 100.0, 100.0, 97.0667, 84.1333, 66.1333, 36.0, 27.8667, 14.4, 8.4, 6.933330000000001, 4.933330000000001, 1.86667, 1.73333, 0.8, 0.4, 0.933333, 0.13333299999999998, 0.4, 0.4, 0.4
800, 100.0, 100.0, 100.0, 95.0, 82.875, 62.25, 41.0, 26.125, 13.25, 7.625, 7.5, 2.75, 1.5, 1.25, 1.0, 0.375, 0.25, 0.125, 0.375, 0.5, 0.375
850, 100.0, 100.0, 100.0, 96.7059, 84.5882, 63.0588, 39.5294, 25.6471, 15.7647, 10.5882, 5.41176, 4.0, 2.94118, 1.52941, 1.6470599999999997, 0.0, 0.117647, 0.117647, 0.470588, 0.352941, 0.235294
900, 100.0, 100.0, 100.0, 97.1111, 87.1111, 59.6667, 40.1111, 26.5556, 12.7778, 10.3333, 7.444439999999999, 4.88889, 1.55556, 2.22222, 1.11111, 0.22222199999999998, 0.22222199999999998, 0.555556, 0.333333, 0.333333, 0.44444399999999995
950, 100.0, 100.0, 100.0, 96.1053, 85.5789, 65.3684, 41.3684, 28.8421, 13.6842, 9.36842, 8.736839999999999, 4.21053, 2.10526, 1.7894700000000001, 0.8421049999999999, 0.42105299999999996, 0.315789, 0.10526300000000001, 0.315789, 0.315789, 0.315789
1000, 100.0, 100.0, 100.0, 97.2, 84.8, 59.1, 42.4, 28.4, 14.3, 9.8, 6.6, 4.4, 2.9, 2.2, 0.6, 0.6, 0.4, 0.5, 0.3, 0.2, 0.3
