NumberOfHashFunctions, k, JaccardSimilarity
1, 0, 100.0
1, 1, 100.0
1, 2, 100.0
1, 3, 80.0
1, 4, 100.0
1, 5, 60.0
1, 6, 60.0
1, 7, 60.0
1, 8, 40.0
1, 9, 40.0
1, 10, 20.0
1, 11, 40.0
1, 12, 40.0
1, 13, 0.0
1, 14, 60.0
1, 15, 40.0
25, 0, 100.0
25, 1, 100.0
25, 2, 100.0
25, 3, 87.2
25, 4, 61.6
25, 5, 53.6
25, 6, 32.8
25, 7, 17.6
25, 8, 16.0
25, 9, 6.4
25, 10, 8.8
25, 11, 10.4
25, 12, 9.6
25, 13, 4.8
25, 14, 4.0
25, 15, 1.6
50, 0, 100.0
50, 1, 100.0
50, 2, 100.0
50, 3, 85.6
50, 4, 58.0
50, 5, 46.4
50, 6, 31.2
50, 7, 19.6
50, 8, 13.6
50, 9, 10.4
50, 10, 7.2
50, 11, 5.6
50, 12, 6.4
50, 13, 5.2
50, 14, 4.0
50, 15, 2.4
100, 0, 100.0
100, 1, 100.0
100, 2, 99.8
100, 3, 81.2
100, 4, 57.6
100, 5, 43.2
100, 6, 30.0
100, 7, 19.2
100, 8, 12.2
100, 9, 7.4
100, 10, 4.8
100, 11, 4.8
100, 12, 3.6
100, 13, 3.6
100, 14, 2.0
100, 15, 1.8
250, 0, 100.0
250, 1, 100.0
250, 2, 99.84
250, 3, 80.32000000000001
250, 4, 61.2
250, 5, 44.56
250, 6, 29.6
250, 7, 18.639999999999997
250, 8, 12.720000000000002
250, 9, 7.839999999999999
250, 10, 5.520000000000001
250, 11, 3.7600000000000002
250, 12, 3.04
250, 13, 2.16
250, 14, 1.8399999999999999
250, 15, 0.8
500, 0, 100.0
500, 1, 100.0
500, 2, 99.8
500, 3, 80.35999999999999
500, 4, 57.08
500, 5, 42.760000000000005
500, 6, 29.759999999999998
500, 7, 18.880000000000003
500, 8, 10.760000000000002
500, 9, 6.8
500, 10, 4.159999999999999
500, 11, 2.4400000000000004
500, 12, 2.12
500, 13, 1.0
500, 14, 1.24
500, 15, 0.64
750, 0, 100.0
750, 1, 100.0
750, 2, 99.92
750, 3, 80.26668
750, 4, 59.413340000000005
750, 5, 43.06666
750, 6, 29.733320000000003
750, 7, 18.239979999999996
750, 8, 11.680000000000001
750, 9, 6.239998000000001
750, 10, 4.373334
750, 11, 2.506666
750, 12, 1.4933314000000002
750, 13, 1.28
750, 14, 1.0666680000000002
750, 15, 0.8266677999999998
1000, 0, 100.0
1000, 1, 100.0
1000, 2, 99.78
1000, 3, 81.74
1000, 4, 58.82000000000001
1000, 5, 43.239999999999995
1000, 6, 28.26
1000, 7, 19.839999999999996
1000, 8, 10.52
1000, 9, 6.24
1000, 10, 3.7600000000000002
1000, 11, 2.3200000000000003
1000, 12, 1.6
1000, 13, 1.1400000000000001
1000, 14, 0.86
1000, 15, 0.48
