NumberOfHashFunctions, k, JaccardSimilarity
1, 0, 100.0
1, 1, 100.0
1, 2, 100.0
1, 3, 100.0
1, 4, 60.0
1, 5, 100.0
1, 6, 60.0
1, 7, 60.0
1, 8, 40.0
1, 9, 40.0
1, 10, 0.0
1, 11, 60.0
1, 12, 20.0
1, 13, 60.0
1, 14, 60.0
1, 15, 60.0
25, 0, 100.0
25, 1, 100.0
25, 2, 99.2
25, 3, 84.0
25, 4, 60.0
25, 5, 44.8
25, 6, 36.8
25, 7, 27.2
25, 8, 13.6
25, 9, 8.0
25, 10, 10.4
25, 11, 8.0
25, 12, 11.2
25, 13, 3.2
25, 14, 3.2
25, 15, 3.2
50, 0, 100.0
50, 1, 100.0
50, 2, 99.6
50, 3, 79.2
50, 4, 66.4
50, 5, 44.4
50, 6, 31.6
50, 7, 18.0
50, 8, 14.8
50, 9, 7.6
50, 10, 8.8
50, 11, 4.8
50, 12, 6.8
50, 13, 4.0
50, 14, 4.4
50, 15, 2.0
100, 0, 100.0
100, 1, 100.0
100, 2, 99.8
100, 3, 82.2
100, 4, 60.0
100, 5, 49.0
100, 6, 28.4
100, 7, 21.6
100, 8, 13.2
100, 9, 7.2
100, 10, 6.2
100, 11, 3.4
100, 12, 3.6
100, 13, 4.0
100, 14, 2.0
100, 15, 1.2
150, 0, 100.0
150, 1, 100.0
150, 2, 99.73332
150, 3, 79.33333999999999
150, 4, 58.66666
150, 5, 39.2
150, 6, 30.4
150, 7, 19.866679999999995
150, 8, 12.533339999999999
150, 9, 9.599993999999999
150, 10, 4.133334
150, 11, 2.5333300000000003
150, 12, 3.2
150, 13, 2.266664
150, 14, 1.8666654
150, 15, 0.9333322
200, 0, 100.0
200, 1, 100.0
200, 2, 99.8
200, 3, 78.7
200, 4, 56.8
200, 5, 41.2
200, 6, 28.8
200, 7, 19.6
200, 8, 10.9
200, 9, 7.2
200, 10, 4.6
200, 11, 3.7
200, 12, 2.6
200, 13, 2.3
200, 14, 2.1
200, 15, 0.9
250, 0, 100.0
250, 1, 100.0
250, 2, 99.92
250, 3, 82.0
250, 4, 60.0
250, 5, 43.519999999999996
250, 6, 28.639999999999997
250, 7, 20.64
250, 8, 9.92
250, 9, 8.16
250, 10, 4.879999999999999
250, 11, 2.6399999999999997
250, 12, 2.0
250, 13, 1.5200000000000002
250, 14, 1.52
250, 15, 0.8800000000000001
300, 0, 100.0
300, 1, 100.0
300, 2, 99.8
300, 3, 78.80001999999999
300, 4, 58.266679999999994
300, 5, 43.26666
300, 6, 29.6
300, 7, 17.666679999999996
300, 8, 10.733326
300, 9, 6.466666000000001
300, 10, 3.866666
300, 11, 3.000002
300, 12, 2.333332
300, 13, 1.466666
300, 14, 1.2
300, 15, 0.8666653999999999
350, 0, 100.0
350, 1, 100.0
350, 2, 99.77144000000001
350, 3, 79.14286
350, 4, 58.8
350, 5, 40.97144
350, 6, 28.85716
350, 7, 20.228559999999998
350, 8, 9.257136000000001
350, 9, 6.057143999999999
350, 10, 4.0
350, 11, 2.9142839999999994
350, 12, 2.1142846
350, 13, 1.2571445999999997
350, 14, 1.0857158
350, 15, 0.7428578
400, 0, 100.0
400, 1, 100.0
400, 2, 99.65
400, 3, 79.95
400, 4, 58.35
400, 5, 43.8
400, 6, 29.6
400, 7, 18.25
400, 8, 11.35
400, 9, 5.9
400, 10, 4.25
400, 11, 2.25
400, 12, 2.25
400, 13, 1.55
400, 14, 0.65
400, 15, 0.75
450, 0, 100.0
450, 1, 100.0
450, 2, 99.73332
450, 3, 80.1778
450, 4, 57.73334
450, 5, 43.46668000000001
450, 6, 30.311119999999995
450, 7, 18.4
450, 8, 9.733326
450, 9, 5.9111139999999995
450, 10, 4.177776
450, 11, 2.2222239999999998
450, 12, 2.1333314000000003
450, 13, 1.5111098
450, 14, 1.1555556
450, 15, 0.6222222
500, 0, 100.0
500, 1, 100.0
500, 2, 99.84
500, 3, 79.24000000000001
500, 4, 58.160000000000004
500, 5, 42.56
500, 6, 29.559999999999995
500, 7, 18.96
500, 8, 11.24
500, 9, 7.08
500, 10, 4.5200000000000005
500, 11, 2.52
500, 12, 2.0
500, 13, 1.48
500, 14, 1.2000000000000002
500, 15, 0.8400000000000001
550, 0, 100.0
550, 1, 100.0
550, 2, 99.7818
550, 3, 81.09092000000001
550, 4, 59.16364
550, 5, 42.43636
550, 6, 27.6364
550, 7, 18.58182
550, 8, 10.80002
550, 9, 6.327271999999999
550, 10, 4.327274
550, 11, 2.799998
550, 12, 1.7454541999999997
550, 13, 1.1636376
550, 14, 1.0181816
550, 15, 0.800001
600, 0, 100.0
600, 1, 100.0
600, 2, 99.63334
600, 3, 80.03334
600, 4, 58.53332
600, 5, 43.63334
600, 6, 28.76666
600, 7, 18.133339999999997
600, 8, 12.43334
600, 9, 6.866668
600, 10, 4.466666
600, 11, 2.4
600, 12, 1.9000014
600, 13, 1.366668
600, 14, 1.0333346
600, 15, 0.666666
650, 0, 100.0
650, 1, 100.0
650, 2, 99.78461999999999
650, 3, 79.0154
650, 4, 59.01537999999999
650, 5, 43.07694
650, 6, 29.47692
650, 7, 17.44614
650, 8, 11.19998
650, 9, 6.5230760000000005
650, 10, 3.9076940000000002
650, 11, 2.646154
650, 12, 1.6000002000000002
650, 13, 1.323077
650, 14, 0.8615372000000001
650, 15, 0.5846152
700, 0, 100.0
700, 1, 100.0
700, 2, 99.8
700, 3, 79.34286
700, 4, 58.571439999999996
700, 5, 42.20002
700, 6, 29.085699999999996
700, 7, 18.91428
700, 8, 11.457158
700, 9, 5.971425999999999
700, 10, 3.9428560000000004
700, 11, 2.14286
700, 12, 1.5999999999999999
700, 13, 1.2
700, 14, 0.8000001999999998
700, 15, 0.5142856
750, 0, 100.0
750, 1, 100.0
750, 2, 99.76
750, 3, 80.61334000000002
750, 4, 58.10666
750, 5, 42.88002
750, 6, 28.96
750, 7, 18.47998
750, 8, 10.879991999999998
750, 9, 6.533332
750, 10, 4.0533339999999995
