NumberOfHashFunctions, k, JaccardSimilarity
1, 0, 100.0
1, 1, 100.0
1, 2, 100.0
1, 3, 100.0
1, 4, 80.0
1, 5, 60.0
1, 6, 20.0
1, 7, 40.0
1, 8, 0.0
1, 9, 0.0
1, 10, 0.0
1, 11, 0.0
1, 12, 0.0
1, 13, 0.0
1, 14, 0.0
1, 15, 0.0
25, 0, 100.0
25, 1, 100.0
25, 2, 99.2
25, 3, 84.0
25, 4, 56.0
25, 5, 52.0
25, 6, 26.4
25, 7, 17.6
25, 8, 11.2
25, 9, 8.8
25, 10, 5.6
25, 11, 0.8
25, 12, 4.8
25, 13, 0.0
25, 14, 0.0
25, 15, 0.0
50, 0, 100.0
50, 1, 100.0
50, 2, 100.0
50, 3, 82.0
50, 4, 62.4
50, 5, 42.8
50, 6, 24.0
50, 7, 16.0
50, 8, 10.0
50, 9, 3.6
50, 10, 4.4
50, 11, 1.2
50, 12, 2.0
50, 13, 1.6
50, 14, 0.4
50, 15, 0.0
100, 0, 100.0
100, 1, 100.0
100, 2, 99.8
100, 3, 83.4
100, 4, 55.8
100, 5, 41.2
100, 6, 27.6
100, 7, 17.2
100, 8, 10.2
100, 9, 6.0
100, 10, 3.4
100, 11, 1.4
100, 12, 2.6
100, 13, 1.2
100, 14, 1.2
100, 15, 0.2
250, 0, 100.0
250, 1, 100.0
250, 2, 100.0
250, 3, 80.8
250, 4, 58.96
250, 5, 43.60000000000001
250, 6, 27.839999999999996
250, 7, 17.999999999999996
250, 8, 10.479999999999999
250, 9, 6.16
250, 10, 3.6800000000000006
250, 11, 2.08
250, 12, 1.6
250, 13, 0.8800000000000001
250, 14, 0.32
250, 15, 0.32
500, 0, 100.0
500, 1, 100.0
500, 2, 99.72
500, 3, 79.24000000000001
500, 4, 58.480000000000004
500, 5, 41.56
500, 6, 27.959999999999997
500, 7, 17.839999999999996
500, 8, 9.959999999999999
500, 9, 6.4399999999999995
500, 10, 4.16
500, 11, 2.52
500, 12, 1.48
500, 13, 0.6
500, 14, 0.76
500, 15, 0.5599999999999999
750, 0, 100.0
750, 1, 100.0
750, 2, 99.67999999999999
750, 3, 79.22668
750, 4, 58.80002
750, 5, 42.05332
750, 6, 29.22666
750, 7, 18.47998
750, 8, 10.24
750, 9, 6.24
750, 10, 3.573334
750, 11, 2.453332
750, 12, 1.4399986
750, 13, 0.7733334000000001
750, 14, 0.6133339999999999
750, 15, 0.32
1000, 0, 100.0
1000, 1, 100.0
1000, 2, 99.82000000000001
1000, 3, 80.2
1000, 4, 57.68000000000001
1000, 5, 41.76
1000, 6, 29.1
1000, 7, 18.4
1000, 8, 10.440000000000001
1000, 9, 5.46
1000, 10, 3.9400000000000004
1000, 11, 2.18
1000, 12, 1.4
1000, 13, 0.6
1000, 14, 0.7000000000000001
1000, 15, 0.24
