NumberOfHashFunctions, k, JaccardSimilarity
1, 0, 100.0
1, 1, 100.0
1, 2, 100.0
1, 3, 80.0
1, 4, 60.0
1, 5, 60.0
1, 6, 0.0
1, 7, 20.0
1, 8, 40.0
1, 9, 0.0
1, 10, 0.0
1, 11, 0.0
1, 12, 0.0
1, 13, 0.0
1, 14, 0.0
1, 15, 0.0
25, 0, 100.0
25, 1, 100.0
25, 2, 100.0
25, 3, 82.4
25, 4, 59.2
25, 5, 50.4
25, 6, 29.6
25, 7, 16.8
25, 8, 9.6
25, 9, 7.2
25, 10, 4.0
25, 11, 1.6
25, 12, 0.8
25, 13, 0.8
25, 14, 1.6
25, 15, 0.0
50, 0, 100.0
50, 1, 100.0
50, 2, 100.0
50, 3, 86.4
50, 4, 55.2
50, 5, 45.6
50, 6, 29.2
50, 7, 15.6
50, 8, 11.6
50, 9, 5.2
50, 10, 3.2
50, 11, 2.4
50, 12, 0.4
50, 13, 1.6
50, 14, 0.0
50, 15, 0.0
100, 0, 100.0
100, 1, 100.0
100, 2, 99.8
100, 3, 81.0
100, 4, 58.2
100, 5, 42.6
100, 6, 32.4
100, 7, 16.4
100, 8, 11.2
100, 9, 9.0
100, 10, 3.0
100, 11, 2.2
100, 12, 0.6
100, 13, 1.4
100, 14, 0.2
100, 15, 0.6
150, 0, 100.0
150, 1, 100.0
150, 2, 99.73332
150, 3, 80.4
150, 4, 60.533339999999995
150, 5, 37.6
150, 6, 25.866660000000003
150, 7, 16.933320000000002
150, 8, 10.13334
150, 9, 6.2666699999999995
150, 10, 3.733334
150, 11, 2.1333314000000003
150, 12, 1.2
150, 13, 0.3999994
150, 14, 0.4
150, 15, 0.26666599999999996
200, 0, 100.0
200, 1, 100.0
200, 2, 99.9
200, 3, 80.6
200, 4, 58.7
200, 5, 40.8
200, 6, 30.1
200, 7, 18.9
200, 8, 10.3
200, 9, 5.2
200, 10, 4.5
200, 11, 2.6
200, 12, 1.1
200, 13, 0.7
200, 14, 0.6
200, 15, 0.1
250, 0, 100.0
250, 1, 100.0
250, 2, 99.67999999999999
250, 3, 79.68
250, 4, 55.52
250, 5, 42.8
250, 6, 28.24
250, 7, 19.119999999999997
250, 8, 11.040000000000003
250, 9, 5.92
250, 10, 3.5200000000000005
250, 11, 1.6
250, 12, 1.52
250, 13, 1.2
250, 14, 0.4800000000000001
250, 15, 0.32
300, 0, 100.0
300, 1, 100.0
300, 2, 99.53334
300, 3, 80.4667
300, 4, 58.53332
300, 5, 42.06664000000001
300, 6, 29.533320000000003
300, 7, 18.0
300, 8, 11.266674
300, 9, 6.400002000000001
300, 10, 3.733334
300, 11, 1.7333334
300, 12, 0.8666666
300, 13, 0.9333334000000001
300, 14, 0.6000006
300, 15, 0.06666659999999999
350, 0, 100.0
350, 1, 100.0
350, 2, 99.88571999999999
350, 3, 78.57142
350, 4, 59.42858
350, 5, 40.57144
350, 6, 29.942859999999996
350, 7, 18.74284
350, 8, 9.65714
350, 9, 6.8
350, 10, 3.6571419999999994
350, 11, 2.2857166
350, 12, 1.2000012
350, 13, 0.914286
350, 14, 0.7428569999999999
350, 15, 0.2857144
400, 0, 100.0
400, 1, 100.0
400, 2, 99.8
400, 3, 81.1
400, 4, 59.2
400, 5, 42.7
400, 6, 29.5
400, 7, 18.6
400, 8, 9.6
400, 9, 6.3
400, 10, 3.5
400, 11, 1.95
400, 12, 1.5
400, 13, 0.9
400, 14, 0.65
400, 15, 0.3
450, 0, 100.0
450, 1, 100.0
450, 2, 99.77778
450, 3, 79.95556
450, 4, 57.42222
450, 5, 42.8
450, 6, 28.35554
450, 7, 18.26666
450, 8, 11.199994
450, 9, 6.266666
450, 10, 2.4888888000000002
450, 11, 2.7111094000000002
450, 12, 1.2444442
450, 13, 0.755556
450, 14, 0.7555551999999999
450, 15, 0.3111108
500, 0, 100.0
500, 1, 100.0
500, 2, 99.72
500, 3, 80.84
500, 4, 57.44
500, 5, 41.32000000000001
500, 6, 28.52
500, 7, 18.84
500, 8, 10.440000000000001
500, 9, 6.720000000000001
500, 10, 3.44
500, 11, 2.68
500, 12, 1.2
500, 13, 1.0
500, 14, 0.52
500, 15, 0.4
550, 0, 100.0
550, 1, 100.0
550, 2, 99.81818
550, 3, 79.49094
550, 4, 57.96364
550, 5, 42.32726
550, 6, 28.072699999999998
550, 7, 18.218200000000003
550, 8, 11.381822
550, 9, 6.618182
550, 10, 3.563636
550, 11, 2.2181819999999997
550, 12, 1.4545455999999999
550, 13, 0.9090912
550, 14, 0.8000001999999998
550, 15, 0.25454540000000003
600, 0, 100.0
600, 1, 100.0
600, 2, 99.63332
600, 3, 80.5
600, 4, 59.13334
600, 5, 42.53336
600, 6, 29.866660000000003
600, 7, 19.0
600, 8, 10.666666
600, 9, 5.0
600, 10, 3.5999980000000003
600, 11, 2.000002
600, 12, 1.466666
600, 13, 0.9333326
600, 14, 0.46666740000000007
600, 15, 0.40000080000000005
650, 0, 100.0
650, 1, 100.0
650, 2, 99.78461999999999
650, 3, 80.12308
650, 4, 56.12308
650, 5, 43.1077
650, 6, 29.56924
650, 7, 17.630760000000002
650, 8, 10.276924
650, 9, 6.553846
650, 10, 3.69231
650, 11, 2.092308
650, 12, 1.3846155999999998
650, 13, 1.0153842
650, 14, 0.9230764
650, 15, 0.30769219999999997
700, 0, 100.0
700, 1, 100.0
700, 2, 99.8
700, 3, 79.65716
700, 4, 57.74285999999999
700, 5, 42.8
700, 6, 28.17144
700, 7, 17.68572
700, 8, 11.34286
700, 9, 6.885714
700, 10, 4.057143999999999
700, 11, 1.9714286
700, 12, 1.3428586
700, 13, 1.4000024
700, 14, 0.8000004000000001
700, 15, 0.2571428
750, 0, 100.0
750, 1, 100.0
750, 2, 99.78666000000001
750, 3, 80.07998
750, 4, 58.61332
750, 5, 42.26666
750, 6, 28.71998
750, 7, 18.240000000000002
750, 8, 10.880014
750, 9, 6.213334000000001
750, 10, 3.8933340000000003
750, 11, 2.426666
