NumberOfHashFunctions, k, JaccardSimilarity
1, 0, 7.839999999999999
1, 1, 8.08
1, 2, 8.120000000000001
1, 3, 8.32
1, 4, 8.440000000000001
1, 5, 8.52
1, 6, 8.84
1, 7, 8.84
1, 8, 8.48
1, 9, 8.959999999999999
1, 10, 8.48
1, 11, 9.2
1, 12, 8.999999999999998
1, 13, 8.72
1, 14, 9.319999999999999
1, 15, 9.040000000000001
25, 0, 7.6
25, 1, 8.440000000000001
25, 2, 8.919999999999998
25, 3, 8.16
25, 4, 8.92
25, 5, 8.719999999999999
25, 6, 8.56
25, 7, 9.52
25, 8, 8.719999999999999
25, 9, 9.360000000000001
25, 10, 8.559999999999999
25, 11, 8.76
25, 12, 8.719999999999999
25, 13, 8.879999999999999
25, 14, 8.52
25, 15, 9.4
50, 0, 7.640000000000001
50, 1, 8.04
50, 2, 8.239999999999998
50, 3, 8.96
50, 4, 8.92
50, 5, 9.040000000000001
50, 6, 9.84
50, 7, 8.56
50, 8, 9.040000000000001
50, 9, 9.72
50, 10, 9.2
50, 11, 9.08
50, 12, 9.08
50, 13, 8.6
50, 14, 9.76
50, 15, 8.68
100, 0, 7.959999999999999
100, 1, 8.120000000000001
100, 2, 9.08
100, 3, 10.0
100, 4, 9.559999999999999
100, 5, 9.879999999999999
100, 6, 9.719999999999999
100, 7, 9.879999999999999
100, 8, 9.68
100, 9, 9.4
100, 10, 9.76
100, 11, 9.52
100, 12, 9.680000000000001
100, 13, 10.319999999999999
100, 14, 9.84
100, 15, 9.639999999999999
250, 0, 7.56
250, 1, 7.68
250, 2, 9.36
250, 3, 10.36
250, 4, 11.24
250, 5, 11.16
250, 6, 11.2
250, 7, 12.8
250, 8, 11.52
250, 9, 11.080000000000002
250, 10, 11.8
250, 11, 11.16
250, 12, 11.16
250, 13, 11.16
250, 14, 11.48
250, 15, 10.959999999999999
500, 0, 8.16
500, 1, 8.8
500, 2, 12.28
500, 3, 14.280000000000001
500, 4, 14.280000000000001
500, 5, 14.24
500, 6, 14.080000000000002
500, 7, 14.84
500, 8, 14.520000000000001
500, 9, 14.279999999999998
500, 10, 14.559999999999999
500, 11, 14.6
500, 12, 14.440000000000001
500, 13, 14.2
500, 14, 14.84
500, 15, 14.279999999999998
750, 0, 8.2
750, 1, 9.040000000000001
750, 2, 14.039999999999997
750, 3, 15.719999999999999
750, 4, 16.919999999999998
750, 5, 17.560000000000002
750, 6, 17.0
750, 7, 17.96
750, 8, 18.119999999999997
750, 9, 16.72
750, 10, 17.559999999999995
750, 11, 18.36
750, 12, 16.84
750, 13, 17.720000000000002
750, 14, 17.44
750, 15, 17.360000000000003
1000, 0, 8.16
1000, 1, 9.239999999999998
1000, 2, 14.52
1000, 3, 18.159999999999997
1000, 4, 19.68
1000, 5, 19.839999999999996
1000, 6, 20.36
1000, 7, 20.48
1000, 8, 20.48
1000, 9, 20.44
1000, 10, 20.159999999999997
1000, 11, 20.119999999999997
1000, 12, 20.639999999999997
1000, 13, 20.080000000000002
1000, 14, 19.76
1000, 15, 19.76
