NumberOfHashFunctions, k, JaccardSimilarity
1, 0, 7.839999999999999
1, 1, 8.36
1, 2, 8.559999999999999
1, 3, 8.719999999999999
1, 4, 8.6
1, 5, 9.680000000000001
1, 6, 9.120000000000001
1, 7, 8.72
1, 8, 9.36
1, 9, 8.8
1, 10, 9.040000000000001
1, 11, 9.4
1, 12, 9.0
1, 13, 9.32
1, 14, 8.559999999999999
1, 15, 9.84
25, 0, 7.8
25, 1, 8.040000000000001
25, 2, 8.92
25, 3, 8.919999999999998
25, 4, 9.24
25, 5, 9.4
25, 6, 9.92
25, 7, 10.28
25, 8, 9.52
25, 9, 9.6
25, 10, 9.080000000000002
25, 11, 9.719999999999999
25, 12, 9.600000000000001
25, 13, 10.0
25, 14, 9.680000000000001
25, 15, 9.76
50, 0, 7.720000000000001
50, 1, 7.840000000000001
50, 2, 9.08
50, 3, 10.32
50, 4, 10.52
50, 5, 9.76
50, 6, 10.52
50, 7, 10.120000000000001
50, 8, 9.919999999999998
50, 9, 10.959999999999999
50, 10, 10.0
50, 11, 10.64
50, 12, 10.64
50, 13, 9.84
50, 14, 10.4
50, 15, 9.879999999999999
100, 0, 8.440000000000001
100, 1, 8.279999999999998
100, 2, 10.039999999999997
100, 3, 10.88
100, 4, 11.559999999999999
100, 5, 11.28
100, 6, 10.879999999999999
100, 7, 11.559999999999999
100, 8, 11.319999999999999
100, 9, 11.32
100, 10, 12.24
100, 11, 11.48
100, 12, 10.8
100, 13, 11.4
100, 14, 11.599999999999998
100, 15, 11.2
250, 0, 7.760000000000001
250, 1, 8.72
250, 2, 11.24
250, 3, 14.2
250, 4, 14.76
250, 5, 15.52
250, 6, 15.760000000000002
250, 7, 16.04
250, 8, 14.560000000000002
250, 9, 15.12
250, 10, 14.919999999999998
250, 11, 15.239999999999998
250, 12, 15.320000000000002
250, 13, 15.16
250, 14, 15.360000000000003
250, 15, 14.319999999999999
500, 0, 8.24
500, 1, 8.64
500, 2, 15.12
500, 3, 19.72
500, 4, 20.6
500, 5, 21.639999999999997
500, 6, 21.119999999999997
500, 7, 21.560000000000002
500, 8, 22.0
500, 9, 21.279999999999998
500, 10, 21.560000000000002
500, 11, 21.04
500, 12, 20.919999999999998
500, 13, 20.639999999999997
500, 14, 21.599999999999998
500, 15, 20.72
750, 0, 8.2
750, 1, 10.04
750, 2, 17.919999999999998
750, 3, 25.28
750, 4, 26.72
750, 5, 27.04
750, 6, 27.6
750, 7, 27.4
750, 8, 27.2
750, 9, 27.720000000000006
750, 10, 26.919999999999998
750, 11, 27.879999999999995
750, 12, 28.880000000000003
750, 13, 26.880000000000003
750, 14, 27.4
750, 15, 26.919999999999998
1000, 0, 7.88
1000, 1, 10.559999999999999
1000, 2, 21.720000000000002
1000, 3, 31.439999999999998
1000, 4, 34.32
1000, 5, 33.760000000000005
1000, 6, 35.04
1000, 7, 34.96
1000, 8, 34.040000000000006
1000, 9, 34.67999999999999
1000, 10, 34.0
1000, 11, 34.12
1000, 12, 34.4
1000, 13, 34.0
1000, 14, 33.84
1000, 15, 33.96
